danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,liked
0.467,0.41,2,-12.028,1,0.185,0.328,4.28e-05,0.113,0.136,95.931,1
0.663,0.84,2,-2.85,1,0.083,0.0132,0,0.496,0.609,128.071,0
0.588,0.479,1,-7.039,1,0.281,0.604,7.2e-06,0.527,0.434,150.414,1
0.541,0.809,8,-4.286,1,0.324,0.708,0,0.72,0.753,120.094,1
0.85,0.731,6,-6.016,1,0.188,0.223,0,0.109,0.602,115.047,0
0.185,0.268,9,-11.407,1,0.0344,0.745,9.39e-06,0.0947,0.0626,87.504,1
0.687,0.716,10,-6.631,0,0.341,0.000975,0,0.127,0.538,94.838,0
0.406,0.798,11,-5.585,0,0.432,0.26,0,0.461,0.58,71.547,1
0.734,0.543,1,-7.979,1,0.4,0.186,0,0.372,0.336,78.168,1
0.698,0.463,6,-5.672,0,0.0549,0.824,2.57e-06,0.111,0.187,85.022,0
0.568,0.619,1,-6.899,1,0.414,0.138,1.67e-06,0.11,0.293,170.115,1
0.697,0.677,2,-6.33,1,0.221,0.77,0,0.1,0.595,93.183,0
0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,1
0.538,0.512,4,-4.548,0,0.0262,0.22,0,0.101,0.12,144.978,0
0.615,0.714,7,-8.664,1,0.0636,0.25,0,0.421,0.702,93.99,0
0.821,0.924,11,-3.921,0,0.382,0.223,6.4e-05,0.445,0.683,95.973,0
0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,1
0.813,0.549,5,-12.427,0,0.269,0.608,1e-06,0.129,0.562,103.914,1
0.919,0.452,1,-8.78,1,0.122,0.488,0,0.159,0.595,100.003,0
0.781,0.878,1,-5.81,1,0.295,0.0566,0,0.361,0.598,94.024,0
0.705,0.433,4,-9.706,1,0.204,0.388,0.134,0.0841,0.602,168.006,1
0.569,0.44,9,-9.624,1,0.054,0.601,1.59e-05,0.313,0.346,141.882,1
0.724,0.63,7,-10.542,0,0.303,0.0998,0.292,0.0857,0.473,82.408,0
0.819,0.531,7,-8.83,1,0.248,0.518,1.84e-06,0.114,0.835,160.07,0
0.541,0.49,5,-6.112,0,0.0897,0.0992,3.99e-06,0.15,0.481,108.031,1
0.327,0.302,4,-11.849,1,0.0269,0.858,1.78e-05,0.11,0.326,87.677,1
0.519,0.862,10,-3.366,1,0.245,0.057,0,0.388,0.742,97.933,0
0.242,0.604,2,-6.788,1,0.0394,0.245,0,0.451,0.461,207.553,1
0.623,0.473,8,-8.336,1,0.461,0.626,0,0.119,0.138,84.066,1
0.701,0.595,5,-8.545,0,0.081,0.0188,7.91e-06,0.15,0.544,92.005,0
0.759,0.609,5,-5.594,1,0.129,0.687,4.13e-05,0.136,0.795,85.529,0
0.793,0.489,8,-10.984,0,0.284,0.25,0.000101,0.432,0.47,120.097,1
0.748,0.705,4,-4.547,0,0.485,0.204,0,0.246,0.483,189.891,1
0.714,0.575,2,-4.67,1,0.0387,0.653,0.00267,0.0956,0.43,118.028,0
0.444,0.287,5,-10.631,0,0.0375,0.849,2.82e-06,0.161,0.246,124.027,1
0.658,0.535,9,-8.983,0,0.0573,0.0265,0,0.2,0.419,110.684,1
0.84,0.344,5,-8.613,0,0.0374,0.456,3.36e-05,0.35,0.526,111.994,1
0.896,0.351,4,-9.713,1,0.288,0.248,0,0.26,0.331,144.935,0
0.675,0.978,4,-3.603,1,0.0554,0.00751,0.126,0.0591,0.954,151.961,0
0.746,0.696,11,-4.719,1,0.0387,0.396,0,0.139,0.635,138.047,0
0.764,0.601,9,-4.666,1,0.0693,0.507,0,0.135,0.778,130.157,0
0.829,0.659,1,-4.449,1,0.056,0.175,0,0.249,0.291,89.996,0
0.644,0.801,7,-4.55,1,0.387,0.511,8.59e-06,0.614,0.764,82.156,1
0.51,0.363,5,-8.635,1,0.0304,0.853,0,0.109,0.426,78.0,1
0.559,0.556,6,-7.844,1,0.531,0.553,0,0.251,0.362,189.861,1
0.782,0.686,7,-16.893,1,0.287,0.0576,4.9e-05,0.0855,0.0929,89.993,0
0.567,0.671,10,-4.841,0,0.0397,0.0767,0,0.11,0.332,111.897,0
0.667,0.508,5,-10.337,1,0.451,0.341,0,0.644,0.093,89.436,1
0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,1
0.867,0.307,1,-9.937,1,0.141,0.0857,0,0.0664,0.0563,136.016,0
0.667,0.492,8,-8.612,1,0.03,0.321,0,0.0744,0.796,95.976,0
0.357,0.238,8,-16.78,0,0.265,0.142,0.0859,0.55,0.494,156.907,1
0.635,0.556,4,-6.201,0,0.118,0.125,0,0.654,0.403,119.871,1
0.395,0.409,6,-8.58,1,0.056,0.708,1.62e-05,0.0982,0.193,74.088,1
0.702,0.608,4,-6.415,0,0.0532,0.311,0,0.155,0.382,123.909,0
0.712,0.814,1,-3.849,1,0.0407,0.00874,0,0.102,0.337,100.008,0
0.873,0.457,11,-11.558,1,0.0451,0.288,1.12e-06,0.093,0.74,137.543,1
0.783,0.761,7,-5.53,1,0.195,0.0864,0,0.643,0.674,110.033,1
0.734,0.438,6,-6.124,0,0.0865,0.224,0.00292,0.215,0.645,143.961,1
0.706,0.914,10,-4.079,0,0.452,0.468,0,0.543,0.708,140.036,0
0.444,0.0924,0,-15.605,1,0.0366,0.784,0,0.304,0.219,108.917,1
0.567,0.525,10,-9.043,0,0.75,0.665,0,0.708,0.416,86.935,1
0.498,0.292,5,-10.656,1,0.031,0.511,1.9e-05,0.256,0.348,68.963,1
0.463,0.427,8,-9.799,0,0.0549,0.628,0.000565,0.0911,0.231,116.059,1
